"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"DocumentMetadata","documentRedactionRequiredIndicator","bool","","Indicator by the filer that the document must be redacted by the court.","nc:Document/ecf:DocumentAugmentation/ecf:RedactionRequiredIndicator","ecf:DocumentAugmentationType","ecf:RedactionRequiredIndicator","niem-xs:boolean","0,1","ecf:Document/ecf:DocumentMetadata/ecf:RedactionRequiredIndicator","0,1","",""
"DocumentMetadata","documentRenditionMetadata (<directional aggregation>)","","1..*","Descriptors for a rendition of a Document. This is meant to include all the information about the document that is needed to  enter it into the Document Management System.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition","ecf:DocumentAugmentationType","^ecf:DocumentRendition","ecf:DocumentRenditionType","0,unbounded","","","",""
"DocumentMetadata","documentSensitivityCode","code","","A code indicating the level of security associated with a document.  By default, a document will be considered to be ""public"" unless otherwise defined by court policy.  Other sensitivity levels may include ""private"", in which the document is only viewable by parties in the case, and ""protected"" in which the document is viewable by a broader set of parties and actors associated with the case.","nc:Document/ecf:DocumentAugmentation/nc:Metadata/nc:SensitivityText","nc:MetadataType","nc:SensitivityText","nc:TextType","0,1","nc:Metadata/nc:SensitivityText","0,1","",""
"DocumentMetadata","docketTypeCode","code","","The docket code used by the court for the type of document submitted. Allowable values set forth in Court Policy.","nc:Document/ecf:DocumentAugmentation/ecf:RegisterActionDescriptionCode","ecf:DocumentAugmentationType","ecf:RegisterActionDescriptionCode","nc:TextType","0,1","ecf:Document/ecf:DocumentMetadata/j:RegisterActionDescriptionText","1,1","Genericode code list RegisterActionDescriptionCode.gc","Court-specific code list"
"DocumentMetadata","filingAttorneyID","id","","Identifier recognized by the court as being unique within this case,and used to identify the entity who is filing this document.","nc:Document/ecf:DocumentFiler/ecf:EntityPerson/ecf:PersonAugmentation/ecf:ParticipantID","ecf:PersonAugmentationType","ecf:ParticipantID","nc:IdentificationType","0,1","ecf:Document/ecf:DocumentMetadata/ecf:FilingAttorneyID","1,1","",""
"DocumentMetadata","filingPartyID","id","","Identifier recognized by the court as being unique within this case,and used to identify the entity on whose behalf this document is being filed.","nc:Document/nc:DocumentSubmitter/nc:EntityPerson/ecf:PersonAugmentation/ecf:ParticipantID","ecf:ItemAugmentationType","ecf:ParticipantID","nc:IdentificationType","0,1","ecf:Document/ecf:DocumentMetadata/ecf:FilingPartyID","1,unbounded","",""
"DocumentMetadata","parentDocumentID","id","","Only present for supporting documents; indicates the identifier of the corresponding lead document.","nc:Document/ecf:DocumentAugmentation/nc:DocumentAssociation/nc:PrimaryDocument","ecf:DocumentAugmentationType","^nc:DocumentAssociation","nc:DocumentAssociationType","0,1","ecf:Document/ecf:DocumentMetadata/ecf:ParentDocumentReference","0,1","",""
"DocumentMetadata","priorRelatedDocumentID","id","","An identifier of a related document that was previously filed in this case.  For instance, the document to which this document is a response.","nc:Document/ecf:DocumentAugmentation/nc:DocumentAssociation/nc:PrimaryDocument, nc:SecondaryDocument","nc:DocumentAssociationType","^nc:PrimaryDocument","nc:DocumentType","0,1","ecf:Document/ecf:DocumentMetadata/ecf:PriorRelatedDocumentID","0,1","",""
"DocumentMetadata","relatedDocument","","*","A related document that was previously filed in this case.  For instance, the document to which this document is a response.","nc:Document/ecf:DocumentAugmentation/nc:DocumentAssociation/ecf:DocumentAssociationAugmentation","nc:DocumentAssociationType","nc:DocumentAssociationAugmentationPoint, (ecf:DocumentAssociationAugmentation)","ecf:DocumentAssociationAugmentationType","1,1","ecf:Document/ecf:DocumentMetadata/ecf:PriorRelatedDocumentID","0,1","",""
"DocumentMetadata","relatedDocumentType","string","0..1","A type of related document that was previously filed in this case.  For instance, the document to which this document is a response.","nc:Document/ecf:DocumentAugmentation/nc:DocumentAssociation/ecf:DocumentAssociationAugmentation/ecf:DocumentRelatedCode","ecf:DocumentAssociationAugmentationType","ecf:DocumentRelatedCode","niem-xs:normalizedString","1,1","ecf:Document/ecf:DocumentMetadata/ecf:PriorRelatedDocumentID","0,1","Genericode code list DocumentRelatedCode.gc","parent=association with a lead document;prior-related=association with a previously filed document"
"DocumentMetadata","specialHandlingInstructions","string","","Any additional instructions for printing of a document (such as printing on front and back of the same page or printing on a particular color paper).
","nc:Document/ecf:DocumentAugmentation/ecf:SpecialHandlingInstructionsText","ecf:DocumentAugmentationType","ecf:SpecialHandlingInstructionsText","nc:TextType","0,1","ecf:Document/ecf:DocumentMetadata/ecf:SpecialHandlingIndicator","0,1","",""
"DocumentMetadata","documentFileControlNumber","","0..1","A file control number associated with a document.","nc:Document/nc:DocumentFileControlID","nc:DocumentType","nc:DocumentFileControlID","niem-xs:string","0,1","nc:Document/nc:DocumentFileControlID","0,1","",""
"DocumentMetadata","documentCategory","string","*","A categorization of a document.","nc:Document/nc:DocumentCategoryText","nc:DocumentType","nc:DocumentCategoryAbstract, (nc:DocumentCategoryText)","nc:TextType","0,unbounded","nc:Document/nc:DocumentCategoryText","0,unbounded","",""
"DocumentMetadata","documentTitle","","0..1","The title of a document.","nc:Document/nc:DocumentTitleText","nc:DocumentType","nc:DocumentTitleText","nc:TextType","0,1","nc:Document/nc:DocumentTitleText","0,1","",""
"DocumentMetadata","documentTypeCode","string","0..1","A type of document","nc:Document/ecf:DocumentAugmentation/ecf:DocumentTypeCode","ecf:DocumentAugmentationType","ecf:DocumentTypeCode","nc:TextType","0,1","","","Genericode codelist ecf:DocumentTypeCode.gc","Court-specific code list"
"DocumentQueryCriteria","","","","Criteria limiting the document information to be returned.","documentrequest:GetDocumentRequestMessage/documentrequest:DocumentQueryCriteria","documentrequest:DocumentQueryCriteriaType","","structures:ObjectType","","","","",""
"DocumentRenditionMetadata","","","","Descriptors for a rendition of a Document. This is meant to include all the information about the document that is needed to  enter it into the Document Management System.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition","ecf:DocumentRenditionType","","nc:DocumentType","","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata","1,1","",""
"DocumentRenditionMetadata","attachmentMetadata (<directional aggregation>)","","*","Information describing an attachment included within a  message. ","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:Attachment","ecf:DocumentRenditionType","nc:Attachment","nc:BinaryType","1,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:AttachmentMetadata","1,unbounded","",""
"DocumentRenditionMetadata","colorRelevanceIndicator","bool","","Indicates whether color is or is not relevant for the presentation of the document.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/ec:DocumentAugmentation/ecf:ColorRelevantIndicator","ecf:DocumentRenditionType","ecf:ColorRelevantIndicator","niem-xs:boolean","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:ColorRelevantIndicator","0,1","",""
"DocumentRenditionMetadata","documentBinaryData","binary","","Embedded document data, in an encoded form acceptable to be included within XML.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:Attachment","ecf:DocumentRenditionType","nc:Attachment","nc:BinaryType","1,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary","0,1","",""
"DocumentRenditionMetadata","documentContentTypeCode","BinaryDescriptionCode","","IANA MIME type specifiying the format of the attachment. Example: application/msword; application/pdf.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/ecf:DocumentAugmentation/cbrn:MIMEContentCode","ecf:DocumentRenditionType","cbrn:MultimediaDataMIMEKindText","niem-xs:string","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinaryCategoryText","0,1","Genericode code list MultimediaDataMIMEKindText.gc","application/pdf; application/vnd.openxmlformats-officedocument.wordprocessingml.document; application/vnd.oasis.opendocument.text;"
"DocumentRenditionMetadata","documentSignature (<directional aggregation>)","","*","Information describing or constituting the signature on a document submitted to a court for filing","nc:Document/ecf:DocumentAugmentation/ecf:DocumentSignature","ecf:DocumentRenditionType","ecf:DocumentSignature","ecf:DocumentSignatureType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature","0,unbounded","",""
"DocumentRenditionMetadata","fileSize","int","","Size of file expressed in kilobytes","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/nc:BinarySizeValue","nc:BinaryType","nc:BinarySizeValue","nc:NonNegativeDecimalType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinarySizeValue","0,1","",""
"DocumentRenditionMetadata","language","string","","The language in which the document is written.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentLanguageCode","nc:DocumentType","nc:DocumentLanguageAbstract, (nc:DocumentLanguageCode)","iso_639-3:LanguageCodeType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentLanguageCode","0,1","",""
"DocumentRenditionMetadata","redactedIndicator","bool","","An indicator that sensitive information has been removed from this rendition of the document.  ","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/ecf:RedactedIndicator","ecf:DocumentRenditionType","ecf:RedactedIndicator","niem-xs:boolean","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:RedactedIndicator","0,1","",""
"DocumentRenditionMetadata","documentBinaryURI","string","*","The location of a document, either a URL or attachment identifier.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/nc:BinaryURI","nc:BinaryType","nc:BinaryURI","niem-xs:anyURI","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinaryLocationURI","0,1","",""
"DocumentRenditionMetadata","documentBinaryContents","","0..1","The binary contents of a document.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/nc:Base64BinaryObject","nc:BinaryType","nc:BinaryObjectAbstract, (nc:Base64BinaryObject)","niem-xs:base64Binary","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:Base64BinaryObject","0,unbounded","",""
"DocumentRenditionMetadata","documentBinaryCapturer","string","0..1","The person who capturer/scanned a document into binary format.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/nc:BinaryCapturer","nc:BinaryType","nc:BinaryCapturer","nc:EntityType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinaryCapturer","0,1","",""
"DocumentRenditionMetadata","documentBinaryFormat","string","0..1","The binary format of a document.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/","nc:BinaryType","nc:BinaryFormatText","nc:TextType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinaryFormatStandardName","0,1","Genericode code list BinaryFormatText.gc","application/json=json; application/msword=doc; application/pdf=pdf; application/vnd.oasis.opendocument.text=odt; application/vnd.openxmlformats-officedocument.wordprocessingml.document=docx; application/xml=xml; "
"DocumentRenditionMetadata","renditionDescription","string","*","A description of a rendition of a document.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:DocumentBinary/","nc:BinaryType","nc:BinaryDescriptionText","nc:TextType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/nc:DocumentBinary/nc:BinaryDescriptionText","0,1","",""
"DocumentSignature","","","","Information describing or constituting the signature on a document submitted to a court for filing.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentSignature","ecf:DocumentSignatureType","","structures:ObjectType","","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature","0,unbounded","",""
"DocumentSignature","signature","binary","","The data or information representing this signature.  It must be valid according to the profile identified by the associated signatureProfileIdentifier.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentSignature/ecf:SignatureAugmentation","ecf:DocumentSignatureType","ecf:SignatureAugmentation","ecf:SignatureAugmentationType","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature/ecf:Signature","0,1","",""
"DocumentSignature","signatureProfileID","id","","An identifier from the Court Filing specification that indicates the Signature Profile governing the structure of this signature.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentSignature/ecf:SignatureProfileCode","ecf:DocumentSignatureType","ecf:SignatureProfileCode","niem-xs:normalizedString","1,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature/ecf:SignatureProfileID","1,1","",""
"DocumentSignature","signatureContent","","1","The content of a signature","nc:Document/ecf:DocumentAugmentation/ecf:DocumentSignature/ecf:SignatureAugmentation","ecf:SignatureAugmentationType","","structures:AugmentationType","","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature/ecf:Signature","","",""
"DocumentSignature","signatureKey","","0..1","A digital signature key","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/ecf:DocumentSignature/ecf:SignatureAugmentation","ecf:SignatureAugmentationType","xs:any","","1,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentSignature/ecf:Signature","1,1","",""
"DocumentStampInformationMessage","","","","A request to get document stamping information.","stampinformation:DocumentStampInformationMessage","stampinformation:DocumentStampInformationMessageType","","ecf:CaseFilingType","","","","",""
"DocumentStampInformationMessage","case (<directional aggregation>)","","1","The court case that is the subject of this query.","stampinformation:DocumentStampInformationMessage/nc:Case","stampinformation:DocumentStampInformationMessageType","nc:Case","nc:CaseType","1,1","","","",""
"DocumentStampInformationMessage","messageExtension","extension","*","An extension point for the enclosing message.","stampinformation:DocumentStampInformationMessage/stampinformation:DocumentStampInformationMessageAugmentationPoint","stampinformation:DocumentStampInformationMessageType","stampinformation:DocumentStampInformationMessageAugmentationPoint","abstract","0,unbounded","","","",""
"DocumentStampInformationMessage","caseTrackingID","id","1","An identifier for a court case","stampinformation:DocumentStampInformationMessage/ecf:CaseTrackingID","stampinformation:DocumentStampInformationMessageType","ecf:CaseTrackingID","nc:IdentificationType","0,unbounded","","","",""
"DocumentStampInformationMessage","caseNumber","id","1","The court case that is the subject of this query.","stampinformation:DocumentStampInformationMessage/ecf:CaseTrackingID","stampinformation:DocumentStampInformationMessageType","j:CaseNumberText","nc:TextType","1,1","","","",""
"DomesticCaseInformation","","","","Information required to initiate a new domestic case in a court.  ""Domestic"" includes divorces, legal separations, annulment, child custody and visitation, paternity, child support, and domestic violence cases.","domestic:CaseAugmentation","nc:CaseType","nc:CaseAugmentationPoint, (^domestic:CaseAugmentation)","domestic:CaseAugmentationType","1,unbounded","domestic:DomesticCase","","",""
"DomesticCaseInformation","causeOfActionCode","code","","The legal ground on which the request for relief is based.  Allowed values set forth in court policy. Example: the basis(es) for relief in a civil case; the grounds for divorce in a state that does not recognize no-fault divorce; grounds for entry of an order of protection in a domestic violence case.","domestic:CaseAugmentation/ecf:CaseCauseOfActionCode","domestic:CaseAugmentationType","ecf:CaseCauseOfActionCode","nc:TextType","1,1","domestic:DomesticCase/ecf:CaseCauseOfActionCode","1,1","",""
"DomesticCaseInformation","childSupportPetitionInformation (<directional aggregation>)","","*","Information concerning a court order in a domestic case.","domestic:CaseAugmentation/hs:ChildSupportEnforcementCase","domestic:CaseAugmentationType","hs:ChildSupportEnforcementCase, hs:PersonCaseAssociation","hs:ChildSupportEnforcementCaseType","0,unbounded","domestic:DomesticCase/domestic:DomesticCaseChildSupportPetition","0,unbounded","",""
"DomesticCaseInformation","contestedIndicator","bool","","Whether a divorce is contested.","domestic:CaseAugmentation/domestic:CaseContestedIndicator","domestic:CaseAugmentationType","domestic:CaseContestedIndicator","niem-xs:boolean","0,1","domestic:DomesticCase/domestic:CaseContestedIndicator","1,1","",""
"DomesticCaseInformation","domesticCaseOrderInformation (<directional aggregation>)","","*","Information concerning a court order in a domestic case.","domestic:CaseAugmentation/domestic:DomesticCaseOrder","domestic:CaseAugmentationType","domestic:DomesticCaseOrder","domestic:DomesticCaseOrderType","0,unbounded","domestic:DomesticCase/domestic:DomesticCaseOrder","0,unbounded","",""
"DomesticCaseInformation","domesticCasePersonInformation (<directional aggregation>)","","1..*"," Information about persons in this domestic case.","domestic:CaseAugmentation/hs:PersonCaseAssociation/nc:Person","hs:PersonCaseAssociationType","^nc:Person","nc:PersonType","0,unbounded","domestic:DomesticCase/domestic:DomesticCasePerson","1,unbounded","",""
"DomesticCaseInformation","domesticLegalRelationshipInformation (<directional aggregation>)","","*","Information about the marriage, civil domestic union, or other domestic relationship defined by law involved in this case.","domestic:CaseAugmentation/nc:PersonUnionAssociation","domestic:CaseAugmentationType","nc:PersonUnionAssociation","nc:PersonUnionAssociationType","0,1","nc:MarriageStatus","0,unbounded","",""
"DomesticCaseInformation","domesticViolencePetitionInformation (<directional aggregation>)","","0..1","Information concerning a petition for domestic violence restraining or protective order.","domestic:CaseAugmentation/domestic:DomesticViolenseCasePetition","domestic:CaseAugmentationType","domestic:DomesticViolencePetition","domestic:DomesticViolencePetitionType","0,1","domestic:DomesticCase/domestic:DomesticCaseViolenceCasePetition","0,1","",""
"DomesticCaseInformation","parentRelationship (<directional aggregation>)","","*","Information relating to a parent involved in this case.","domestic:CaseAugmentation/hs:ParentChildAssociation","domestic:CaseAugmentationType","hs:ParentChildAssociation","hs:ParentChildAssociationType","0,unbounded","domestic:DomesticCase/nc:ImmediateFamilyAssociation","0,unbounded","",""
"DomesticCaseOrderInformation","","","","Information concerning a court order in a domestic case.","domestic:CaseAugmentation/domestic:DomesticCaseOrder","domestic:DomesticCaseOrderType","","j:CourtOrderType","","domestic:DomesticCase/domestic:DomesticCaseOrder","0,unbounded","",""
"DomesticCaseOrderInformation","courtFindings","string","","A description of the findings of the court.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:CourtFindingsText","domestic:DomesticCaseOrderType","domestic:CourtFindingsText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:CourtFindingsText","0,1","",""
"DomesticCaseOrderInformation","executedOrder","bool","","Indicates that an order is executed (signed) by the court.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/j:CourtOrderStatus/nc:StatusText","nc:StatusType","nc:StatusAbstract, (nc:StatusText)","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/j:CourtOrderStatus/nc:StatusText","0,1","",""
"DomesticCaseOrderInformation","obligation (<directional aggregation>)","","0..1","A responsibility of a party in a case ordered by a court.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation","domestic:DomesticCaseOrderType","domestic:FinancialObligation","domestic:FinancialObligationType","0,unbounded","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligation","0,unbounded","",""
"DomesticCaseOrderInformation","orderCategory","string","","Category of order, including Establish, Modify, Enforce, Modify and Enforce, and Vacate.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:DomesticCaseOrderTypeText","domestic:DomesticCaseOrderType","domestic:DomesticCaseOrderTypeText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseOrderTypeText","0,1","",""
"DomesticCaseOrderInformation","orderExtension","","*","An extension to a court order.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/j:CourtOrderAugmentationPoint","j:CourtOrderType","j:CourtOrderAugmentationPoint","abstract","0,unbounded","","","",""
"DomesticCasePersonInformation","","","","Information about persons in a domestic case.","domestic:CaseAugmentation/hs:PersonCaseAssociation/nc:Person","hs:PersonCaseAssociationType","^nc:Person","nc:PersonType","0,unbounded","domestic:DomesticCase/domestic:DomesticCasePerson","1,unbounded","",""
"DomesticCasePersonInformation","extendedPersonInformation (<directional aggregation>)","","0..1","Additional information about a person in a domestic case.  Note that only dateOfBirth, socialSecurityNumber, and sexCode are expected to be present for this association, with the exception of a DV Order respondent, when all ExtendedPersonInformation attributes and associations may be present.","domestic:CaseAugmentation/hs:PersonCaseAssociation/nc:Person","hs:PersonCaseAssociationType","^nc:Person","nc:PersonType","0,unbounded","domestic:DomesticCase/domestic:DomesticCasePerson","1,unbounded","",""
"DomesticCasePersonInformation","insurance (<directional aggregation>)","","0..1","nsurance coverage for an individual.","domestic:CaseAugmentation/nc:Person/ecf:PersonAugmentation/nc:Insurance","ecf:PersonAugmentationType","nc:Insurance","ecf:InsuranceType","0,unbounded","domestic:DomesticCase/domestic:DomesticCasePerson/ecf:PersonAugmentation/ecf:PersonInsurance","0,unbounded","",""
"DomesticCasePersonInformation","personID","id","","The unique identifier assigned by the court at the time a person is first associated with a case. If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this element blank.  This identifier is used to link other information in the case to a particular person.","nc:Person/nc:PersonOtherIdentification","nc:PersonType","nc:PersonOtherIdentification","nc:IdentificationType","0,unbounded","nc:Person/nc:PersonOtherIdentification","0,unbounded","",""
"DomesticLegalRelationshipInformation","","","","Information about a marriage, civil domestic union, or other domestic relationship defined by law.","domestic:CaseAugmentation/nc:PersonUnionAssociation","nc:PersonUnionAssociationType","","nc:PersonAssociationType","","domestic:DomesticCase/domestic:MarriageAssociation","0,unbounded","",""
"DomesticLegalRelationshipInformation","dateOfDivorce","date","","Date of legally effective ending of a marriage or similar legal relationship.","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:PersonDisunion/nc:ActivityDate","nc:PersonUnionAssociationType","nc:PersonDisunion","nc:PersonDisunionType","0,1","domestic:DomesticCase/domestic:MarriageAssociation/nc:PersonUnionStatus/nc:StatusDate","0,1","",""
"DomesticLegalRelationshipInformation","dateOfDomesticLegalRelationship","date","","Date of marriage or similar legal relationship.","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:ActivityDate","nc:ActivityType","nc:ActivityDate","nc:DateType","0,1","domestic:DomesticCase/domestic:MarriageAssociation/nc:PersonUnionStatus/nc:StatusDate","0,1","",""
"DomesticLegalRelationshipInformation","dateOfSeparation","date","","Date that parties to a domestic legal relationship separated from each other voluntarily with intent to remain apart.","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:PersonUnionSeparation/nc:ActivityDate","nc:PersonUnionAssociationType","nc:PersonUnionSeparation","nc:PersonUnionSeparationType","0,1","domestic:DomesticCase/domestic:MarriageAssociation/nc:PersonUnionStatus/nc:StatusDate","0,1","",""
"DomesticLegalRelationshipInformation","divorcePending","bool","","Indicates if there is an ongoing divorce case.","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:PersonDisunion/nc:PersonDisunionDecreeIndicator","nc:PersonDisunionType","nc:PersonDisunionDecreeIndicator","niem-xs:boolean","0,1","domestic:DomesticCase/domestic:MarriageAssociation/scr:MarriageAssociationAugmentation/scr:DivorceDecreeIndicator","0,unbounded","",""
"DomesticLegalRelationshipInformation","marriageLocation","string","","Text description of the location of the marriage  (civil union, domestic partnership, common law relationship, etc.).","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:PersonUnionLocation","nc:PersonUnionAssociationType","^nc:PersonUnionLocation","nc:LocationType","0,1","domestic:DomesticCase/domestic:MarriageAssociation/scr:MarriageAssociationAugmentation/scr:MarriageCityName","0,unbounded","",""
"DomesticLegalRelationshipInformation","spouse (<directional aggregation>)","","1..*","Information about persons in a domestic case.","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:Person","nc:PersonAssociationType","^nc:Person","nc:PersonType","2,unbounded","domestic:DomesticCase/domestic:MarriageAssociation/nc:PersonReference","2,unbounded","",""
"DomesticLegalRelationshipInformation","unionType","string","0..1","A type of legal union between persons (e.g. marriage)","domestic:CaseAugmentation/nc:PersonUnionAssociation/nc:PersonUnionCategory","nc:PersonUnionAssociationType","nc:PersonUnionCategoryAbstract, (nc:PersonUnionCategoryCode)","nc:PersonUnionCategoryCodeType","0,1","domestic:DomesticCase/domestic:MarriageAssociation/nc:PersonUnionCategory","0,1","",""
"DomesticViolencePetitionInformation","","","","Information concerning a petition for domestic violence restraining or protective order.","domestic:CaseAugmentation/domestic:DomesticViolencePetition","domestic:DomesticViolencePetitionType","","structures:ObjectType","","domestic:DomesticCase/domestic:DomesticCaseViolencePetition","0,1","",""
"DomesticViolencePetitionInformation","protectionOrder","","*","A request for a protection order.","domestic:DomesticViolencePetition/j:ProtectionOrder","domestic:DomesticViolencePetitionType","j:ProtectionOrder","j:ProtectionOrderType","0,1","","","",""
"DomesticViolencePetitionInformation","childSupportDescriptionText","string","","Description of temporary child support award that the court is being asked to order.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/domestic:ChildSupportText","domestic:DomesticViolencePetitionType","domestic:ChildSuportText","nc:TextType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:ChildSupportText","1,1","",""
"DomesticViolencePetitionInformation","custodyDescriptionText","string","","Description of temporary custody award that court is being asked to include in the order.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/domestic:CustodyDescriptionText","domestic:DomesticViolencePetitionType","domestic:CustodyDescriptionText","nc:TextType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:CustodyDescriptionText","1,1","",""
"DomesticViolencePetitionInformation","noContactCode","code","","Means of communication with initiating party that the court is being asked to prohibit.  Allowed values to be set forth in Court Policy.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/j:ProtectionOrder/j:ProtectionOrderConditionCode","j:ProtectionOrderType","j:ProtectionOrderConditionAbstract, (j:ProtectionOrderConditionCode)","ncic:PCOCodeType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:NoContactCode","1,1","",""
"DomesticViolencePetitionInformation","requestToVacateCode","code","","Designation of place that abuser will be ordered to vacate.  Allowable values to be set forth in Court Policy.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/j:ProtectionOrder/j:ProtectionOrderConditionCode","j:ProtectionOrderType","j:ProtectionOrderConditionAbstract, (j:ProtectionOrderConditionCode)","ncic:PCOCodeType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:RequestToVacateCode","1,1","",""
"DomesticViolencePetitionInformation","requestToVacateText","string","","Open text designation of place that abuser will be ordered to vacate.  This should contain a description of the place, and its location.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/j:ProtectionOrder/j:ProtectionOrderConditionText","j:ProtectionOrderType","j:ProtectionOrderConditionText","nc:TextType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:RequestToVacateText","1,1","",""
"DomesticViolencePetitionInformation","respondentDangerAlertIndicator","bool","","Whether the person against whom a proposed order would be entered should be considered a danger to others, including law enforcement officers responding to a domestic disturbance call.","domestic:CaseAugmentation/domestic:DomesticViolencePetition/domestic:RespondentDangerAlertIndicator","domestic:DomesticViolencePetitionType","domestic:RespondentDangerAlertindicator","niem-xs:boolean","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:RespondentDangerAlertIndicator","1,1","",""
"DomesticViolencePetitionInformation","stayawayDistanceText","string","","Description of the distance abuser must maintain from abused person(s).","domestic:CaseAugmentation/domestic:DomesticViolencePetition/j:ProtectionOrder/j:ProtectionOrderConditionText, j:ProtectionOrderRestrictedPerson","j:ProtectionOrderType","j:ProtectionOrderConditionText, j:ProtectionOrderRestrictedPerson","nc:TextType","1,1","domestic:DomesticCase/domestic:DomesticCaseViolencePetition/domestic:StayawayDistanceText","1,1","",""
"DriversLicenseInformation","","","","Additional information about a drivers license.","citation:CaseAugmentation/j:Citation/j:CitationSubject/citation:SubjectAugmentation/j:DriverLicensese","j:DriverLicenseType","","structures:ObjectType","","citation:CitationCaseAugmentation/citation:CitationSubject/ecf:PersonAugmentation/ecf:PersonDriverLicense","0,1","",""
